,Porcentaje_Sustituciones,porc_Rechazos,porc_NE,porc_Aptos,Casillas_x_CAE_escaladas,A1,B1,C1,Rural1,Urbana1,porc_m_mesas,porc_sin_e_mesas,porc_prim_mesas,porc_sec_mesas,porc_bach_mesas,porc_lic_mesas,edad_min_escalada_X_edo,edad_max_escalada_X_edo,edad_promedio_escalada_X_edo,edad_rango_escalada_X_edo,ciudadanos_antemesas_escalada_X_edo,edad_min_escalada_Nacional,edad_max_escalada_Nacional,edad_promedio_escalada_Nacional,edad_rango_escalada_Nacional,ciudadanos_antemesas_escalada_Nacional,Ausentismo2,Llave.Casilla,NOMBRE_ESTADO.x,iD_ESTADO.x,ID_DISTRITO.x,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA
43,0.111111111,0.202279202,0.464387464,0.205128205,0.857142857,0,0,1,0,1,0.666666667,0,0.111111111,0.444444444,0.333333333,0.111111111,0.6,0.807692308,0.689655172,0.568965517,1,0.545454545,0.807692308,0.625,0.568965517,1,1,9-DISTRITO FEDERAL-1-833-C3,DISTRITO FEDERAL,9,1,833,3,C,0
44,0.111111111,0.133333333,0.456410256,0.287179487,0.714285714,0,1,0,0,1,0.444444444,0,0.111111111,0.333333333,0.333333333,0.222222222,0.42,0.679487179,0.620689655,0.551724138,1,0.381818182,0.679487179,0.5625,0.551724138,1,1,9-DISTRITO FEDERAL-1-834-B,DISTRITO FEDERAL,9,1,834,1,B,0
46,0.666666667,0.133333333,0.456410256,0.287179487,0.714285714,0,1,0,0,1,0.555555556,0,0.111111111,0.333333333,0.333333333,0.222222222,0.4,0.820512821,0.603448276,0.75862069,1,0.363636364,0.820512821,0.546875,0.75862069,1,1,9-DISTRITO FEDERAL-1-834-C2,DISTRITO FEDERAL,9,1,834,2,C,0
49,0.222222222,0.151658768,0.393364929,0.241706161,0.714285714,0,1,0,0,1,0.666666667,0.111111111,0,0.444444444,0.222222222,0.222222222,0.42,0.641025641,0.672413793,0.5,1,0.381818182,0.641025641,0.609375,0.5,1,0,9-DISTRITO FEDERAL-1-835-C2,DISTRITO FEDERAL,9,1,835,2,C,0
51,0.222222222,0.272727273,0.512987013,0.233766234,0.857142857,0,0,1,0,1,0.444444444,0,0.111111111,0.222222222,0.222222222,0.444444444,0.36,0.846153846,0.620689655,0.827586207,1,0.327272727,0.846153846,0.5625,0.827586207,1,0,9-DISTRITO FEDERAL-1-836-C1,DISTRITO FEDERAL,9,1,836,1,C,0
54,0.111111111,0.285714286,0.440993789,0.173913043,0.714285714,0,1,0,0,1,0.666666667,0,0.111111111,0.444444444,0.444444444,0,0.42,0.756410256,0.689655172,0.655172414,1,0.381818182,0.756410256,0.625,0.655172414,1,0,9-DISTRITO FEDERAL-1-838-B,DISTRITO FEDERAL,9,1,838,1,B,0
55,0.444444444,0.285714286,0.440993789,0.173913043,0.714285714,0,1,0,0,1,0.555555556,0,0.222222222,0.222222222,0.444444444,0.111111111,0.4,0.602564103,0.551724138,0.465517241,1,0.363636364,0.602564103,0.5,0.465517241,1,0,9-DISTRITO FEDERAL-1-838-C1,DISTRITO FEDERAL,9,1,838,1,C,0
57,0.222222222,0.158469945,0.43715847,0.213114754,0.857142857,0,1,0,0,1,0.555555556,0,0.111111111,0.444444444,0.111111111,0.333333333,0.52,0.692307692,0.655172414,0.482758621,1,0.472727273,0.692307692,0.59375,0.482758621,1,1,9-DISTRITO FEDERAL-1-839-C1,DISTRITO FEDERAL,9,1,839,1,C,0
58,0.111111111,0.180851064,0.553191489,0.207446809,0.714285714,0,0,1,0,1,0.666666667,0,0.111111111,0.222222222,0.444444444,0.222222222,0.36,0.512820513,0.465517241,0.379310345,1,0.327272727,0.512820513,0.421875,0.379310345,1,0,9-DISTRITO FEDERAL-1-840-B,DISTRITO FEDERAL,9,1,840,1,B,0
60,1,0.14559387,0.475095785,0.195402299,0.714285714,0,0,1,0,1,0.777777778,0,0.222222222,0.555555556,0.111111111,0.111111111,0.4,0.884615385,0.827586207,0.844827586,1,0.363636364,0.884615385,0.75,0.844827586,1,1,9-DISTRITO FEDERAL-1-841-B,DISTRITO FEDERAL,9,1,841,1,B,0
62,0.333333333,0.14559387,0.475095785,0.195402299,0.714285714,0,0,1,0,1,0.555555556,0.111111111,0.111111111,0.555555556,0.111111111,0.111111111,0.58,0.858974359,0.672413793,0.655172414,1,0.527272727,0.858974359,0.609375,0.655172414,1,1,9-DISTRITO FEDERAL-1-841-C2,DISTRITO FEDERAL,9,1,841,2,C,0
66,0.555555556,0.142241379,0.474137931,0.24137931,0.857142857,0,0,1,0,1,0.222222222,0,0.111111111,0.333333333,0.333333333,0.222222222,0.36,0.615384615,0.482758621,0.517241379,1,0.327272727,0.615384615,0.4375,0.517241379,1,1,9-DISTRITO FEDERAL-1-843-B,DISTRITO FEDERAL,9,1,843,1,B,0
68,0.555555556,0.142241379,0.474137931,0.24137931,0.857142857,0,0,1,0,1,0.888888889,0,0.111111111,0.444444444,0.222222222,0.222222222,0.38,0.602564103,0.517241379,0.482758621,1,0.345454545,0.602564103,0.46875,0.482758621,1,1,9-DISTRITO FEDERAL-1-843-C2,DISTRITO FEDERAL,9,1,843,2,C,0
69,0.222222222,0.276923077,0.497435897,0.220512821,0.714285714,0,1,0,0,1,0.444444444,0,0.111111111,0.111111111,0.444444444,0.222222222,0.4,0.730769231,0.603448276,0.637931034,1,0.363636364,0.730769231,0.546875,0.637931034,1,0,9-DISTRITO FEDERAL-1-844-B,DISTRITO FEDERAL,9,1,844,1,B,0
70,0.222222222,0.276923077,0.497435897,0.220512821,0.714285714,1,0,0,0,1,0.333333333,0,0.111111111,0.222222222,0.444444444,0.222222222,0.46,0.628205128,0.620689655,0.448275862,1,0.418181818,0.628205128,0.5625,0.448275862,1,1,9-DISTRITO FEDERAL-1-844-C1,DISTRITO FEDERAL,9,1,844,1,C,0
73,0.333333333,0.190789474,0.5,0.243421053,0.714285714,0,1,0,0,1,0.333333333,0,0.111111111,0.333333333,0.111111111,0.444444444,0.38,0.615384615,0.551724138,0.5,1,0.345454545,0.615384615,0.5,0.5,1,1,9-DISTRITO FEDERAL-1-845-C1,DISTRITO FEDERAL,9,1,845,1,C,0
74,0.555555556,0.294797688,0.653179191,0.219653179,0.714285714,0,1,0,0,1,0.555555556,0,0.111111111,0.222222222,0.666666667,0,0.48,0.820512821,0.74137931,0.689655172,1,0.436363636,0.820512821,0.671875,0.689655172,1,1,9-DISTRITO FEDERAL-1-846-B,DISTRITO FEDERAL,9,1,846,1,B,0
75,0.333333333,0.294797688,0.653179191,0.219653179,0.714285714,0,1,0,0,1,0.888888889,0,0.333333333,0.222222222,0.111111111,0.333333333,0.4,0.807692308,0.620689655,0.74137931,1,0.363636364,0.807692308,0.5625,0.74137931,1,1,9-DISTRITO FEDERAL-1-846-C1,DISTRITO FEDERAL,9,1,846,1,C,0
77,0.222222222,0.181102362,0.448818898,0.275590551,0.714285714,0,0,1,0,1,0.555555556,0,0.222222222,0.333333333,0.444444444,0,0.38,0.730769231,0.637931034,0.655172414,1,0.345454545,0.730769231,0.578125,0.655172414,1,1,9-DISTRITO FEDERAL-1-847-C1,DISTRITO FEDERAL,9,1,847,1,C,0
84,0.111111111,0.169014085,0.516431925,0.225352113,0.714285714,1,0,0,0,1,0.444444444,0,0,0.222222222,0.444444444,0.222222222,0.4,0.628205128,0.586206897,0.5,1,0.363636364,0.628205128,0.53125,0.5,1,1,9-DISTRITO FEDERAL-1-850-B,DISTRITO FEDERAL,9,1,850,1,B,0
85,0.111111111,0.169014085,0.516431925,0.225352113,0.714285714,1,0,0,0,1,0.666666667,0,0,0.333333333,0.333333333,0.333333333,0.38,0.705128205,0.586206897,0.620689655,1,0.345454545,0.705128205,0.53125,0.620689655,1,1,9-DISTRITO FEDERAL-1-850-C1,DISTRITO FEDERAL,9,1,850,1,C,0
88,0.222222222,0.278145695,0.516556291,0.225165563,0.714285714,1,0,0,0,1,0.777777778,0,0.222222222,0.111111111,0.333333333,0.333333333,0.38,0.756410256,0.637931034,0.689655172,1,0.345454545,0.756410256,0.578125,0.689655172,1,0,9-DISTRITO FEDERAL-1-851-C1,DISTRITO FEDERAL,9,1,851,1,C,0
89,0.333333333,0.176570458,0.35483871,0.188455008,0.714285714,1,0,0,0,1,0.333333333,0,0.111111111,0.333333333,0.333333333,0.111111111,0.38,0.666666667,0.568965517,0.568965517,1,0.345454545,0.666666667,0.515625,0.568965517,1,0,9-DISTRITO FEDERAL-1-852-B,DISTRITO FEDERAL,9,1,852,1,B,0
