,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,ENTIDAD
1,-0.01824144,-0.202032408,-0.623941437,1.940638868,0.754275882,0.014700422,0.035853453,0.102011101,-2.752913817,0.087596809,-0.012665098,-0.041645226,3.200913821,2.884189928,2.214063455,0.80087205,1.235527162,-0.013122853,-2.252604677,-0.225730391,2.247072199,0.063425889,0.561269908,-0.353396645,0.080606565,1.192796666,DISTRITO FEDERAL
2,0.055513389,-0.438597997,-1.228155598,2.507752814,0.007690106,-0.28070706,0.01011063,0.09932166,-1.574431577,-0.06537719,-0.321232581,-0.131413694,1.337869332,2.419246823,1.469258471,0.077281381,-0.012588667,0.040570789,-3.624085204,0.015224359,0.593622075,0.038373249,-0.002198825,1.601703337,-0.096914277,-0.025212221,DISTRITO FEDERAL
3,0.049788852,-0.734353544,-0.321186322,1.308380186,0.005095429,-0.04479739,-0.136671514,0.058261791,-0.072743569,-0.038035222,-0.025095279,-0.008421057,2.512672457,2.194398924,1.511363848,0.024008433,0.119877092,-0.359357364,-3.170794546,0.487885319,0.032274138,1.136925605,0.017439546,0.081118477,-0.06224472,-0.263459713,DISTRITO FEDERAL
4,-0.054965571,-0.059488503,-0.537209858,2.42102655,0.024501816,0.030015467,0.137363338,0.259978884,-0.052916826,0.014445432,-0.048619837,-0.018660655,2.735277781,2.716751957,1.876015772,0.680896424,1.145473851,-0.00753823,-3.583883775,-0.066661446,-1.690038472,0.17007624,-0.000913944,0.709523952,0.000100959,0.099949371,DISTRITO FEDERAL
5,0.040508845,-0.121032884,-1.275222374,2.291815096,0.045947089,-0.077807307,0.123311705,0.182691058,0.666712432,-0.15123015,-0.090915421,-0.121086557,3.209144557,2.718847896,2.409208631,1.104070374,2.052939224,0.711957179,-3.926261137,-0.000605282,-3.112522986,-0.078685924,-0.199083197,-0.009696998,0.132973391,0.069302536,DISTRITO FEDERAL
6,0.02155997,-0.155819739,-1.052446015,1.614962703,-0.051062747,-0.021978179,0.057188333,0.263382993,0.056613226,-0.062303764,-0.390568914,0.192566108,3.010398986,2.72967177,2.057525946,0.773361098,-0.040357506,-0.508386916,-0.001891682,0.035302369,-0.007884246,1.208824815,0.088477149,-3.139454208,0.042241928,3.911289782,DISTRITO FEDERAL
7,0.031674405,-0.058368213,-1.190902434,2.509909164,0.110818223,-0.056993645,0.048632625,0.231385866,-0.064803459,-0.064969634,-0.004869442,0.024864168,2.172364555,2.67111323,1.582131456,0.134093567,0.959827485,0.032450958,-0.089850348,0.16543246,1.72913315,-0.161041288,-0.034721574,-3.22843998,-0.107858273,-0.055481116,DISTRITO FEDERAL
8,-0.065686304,-0.556183661,-1.095268285,1.881292183,0.042374444,-0.29336817,-0.014587413,0.060299744,0.065197205,0.127822365,-0.35112445,-0.049415905,3.161599043,2.611592005,2.231031121,0.739944016,-0.072746601,-2.323184371,-2.160664525,-0.019167931,0.015644206,0.919413325,2.777886708,-0.539842956,-0.050832609,0.937765462,DISTRITO FEDERAL
9,-0.014165816,0.061548058,-0.938224109,2.187486931,0.017495157,-0.183439984,-0.020301785,0.051356769,1.160645807,0.034617106,-0.101246787,-0.138172437,3.450182769,3.172752739,2.466310791,1.126043563,-0.001298163,2.422350201,-2.403077278,-1.363523617,1.675489536,0.084127854,-0.014481979,-0.443591137,-0.046795109,-0.028873714,DISTRITO FEDERAL
10,0.030852479,-0.003497688,-0.467830572,1.467097055,0.420652501,-0.395437553,-0.101894603,-0.013637365,0.049108477,-0.081591157,-0.020591402,-0.049516921,3.247868767,2.741151629,2.051068778,0.810996481,-1.067230119,0.486347585,-1.420551667,-1.445773505,0.02110266,3.442355493,0.003971477,-2.725214031,1.606346891,-0.064601715,DISTRITO FEDERAL
11,0.069342186,-0.700411222,-0.626222051,0.406898252,0.066655321,-0.134637436,0.002421149,0.094984577,-1.740573226,0.00217245,-0.034600671,-0.005833769,2.588770312,2.405789653,2.088249583,0.830587079,-0.061881873,0.082985008,-2.848838605,-1.023142489,-1.214092954,0.299315734,1.584292755,-0.024323097,-0.019546684,4.556611899,DISTRITO FEDERAL
12,-0.006854447,-0.18539224,-0.967815705,1.26139455,-0.022206105,-0.147460042,0.161955439,0.242820755,-5.81690813,-0.112935862,-0.149016752,0.10914445,3.040603458,3.289190653,2.551520608,1.367079707,-0.320542503,2.682285481,-0.276798763,0.050294924,-0.082582037,-0.048378117,1.483539699,-3.755856938,-2.39171839,10.22993163,DISTRITO FEDERAL
13,0.006995419,-1.375703633,-1.086659118,1.812860904,0.640982383,-0.077192618,0.005439308,0.119484415,-1.153995593,-0.024929359,-0.302270446,0.145959694,3.109612444,2.841789859,1.873237023,1.130967995,1.320479186,0.04758575,-1.318395451,0.028748541,1.41783305,-0.117801902,-0.014966741,-1.896156498,0.037840771,-0.057531155,DISTRITO FEDERAL
14,-0.043210715,-0.083028446,-0.964773636,1.949454582,0.05386317,-0.141350883,-0.050550454,0.121035628,-2.992094581,0.010672063,-0.180019255,-0.090586538,3.057561274,3.140787918,2.476742312,1.223458454,-0.102609031,-0.057963524,0.065873257,0.031996902,-1.422693629,1.820136256,0.83476191,-3.396102267,-0.045018565,4.963282791,DISTRITO FEDERAL
15,0.084711394,-0.676127154,-1.16353406,2.348694936,0.042616003,-0.045808767,0.216605781,0.284104731,0.629034427,0.080617014,-0.365804594,1.248596393,2.839281749,2.916336244,2.014267473,0.789901167,-0.070990515,0.027663808,-0.085893079,-0.752540597,0.093476047,0.015141941,1.052918631,-2.489518092,0.052714375,-0.015216182,DISTRITO FEDERAL
16,0.021325156,-0.065444645,-1.281751061,1.912578006,0.086653347,-0.190490753,0.024822245,0.095979287,-0.06744588,-0.070197978,-0.072890258,-0.007575704,3.29011681,3.139442942,2.345609586,1.308904775,-0.074439552,-0.24899094,-0.107693803,1.808519254,1.378509694,2.408246595,0.025918979,-3.371506904,-1.360101976,2.26526589,DISTRITO FEDERAL
17,-0.016609445,-0.073574121,-0.98275104,1.657070169,0.2162465,-0.074464134,0.02802811,0.188563937,-0.382073027,-0.092789873,-0.005972869,0.812990058,2.802188151,2.840151307,2.022124966,0.73085564,2.085900547,-1.174982512,-0.646250015,0.059519959,0.397111216,-1.104549567,3.024010112,-2.312635372,-0.585094917,-0.085868819,DISTRITO FEDERAL
18,0.047950251,-0.332691857,-1.158065342,1.505895383,0.260883274,-0.172253515,0.02890404,0.066680916,0.096648658,-0.123391747,-0.24258322,0.771508561,3.514531847,3.222918544,2.49880505,1.06206446,-0.072822875,0.000367146,0.034311024,0.023108559,0.47409159,1.71347656,0.123109628,-2.630555637,-0.115447491,5.986045577,DISTRITO FEDERAL
19,-0.003535001,-0.623154972,-1.216984175,2.058248368,0.022023398,-0.100146915,0.000821628,0.193336715,0.266448567,-0.1277345,-0.262561949,0.04617951,1.971155608,1.9105623,1.050266196,-0.011572473,1.330844667,0.013006315,-0.246637184,0.000780508,0.042496861,-0.018936155,0.015365441,-3.188006817,0.02381078,-0.596277697,DISTRITO FEDERAL
